feature,score,rank,selected
e_log1p_exp,155.96643774825367,1,1
e_n_exp,146.926364684602,2,1
i_share_first,1.5033910203232548,3,1
i_credit_first,1.503391020323254,4,1
i_log1p_n_exp,0.2743668790218913,5,1
u_log1p_n_events,0.20758980615944547,6,1
ui_pop_mismatch,0.1948278558246548,7,1
i_n_exp,0.12065548171474193,8,1
u_n_exp,0.0778834137275522,9,1
u_n_uniq_items,0.06287968700827783,10,1
i_credit_linear,0.057194511883837396,11,0
i_share_linear,0.057194511883837396,12,0
u_log1p_n_uniq,0.03932878587307568,13,0
i_share_last,0.015380878605225795,14,0
i_credit_last,0.01538087860522578,15,0
u_span_sec,0.014053440828306424,16,0
i_log1p_n_covisit,0.00638134293546201,17,0
i_n_users,0.005432572477913806,18,0
u_n_events,0.0012691783650566689,19,0
i_log1p_n_users,0.0009307101485262736,20,0
i_n_covisit_neighbors,0.0004001758854365669,21,0
