feature,score,rank,selected
u_span_sec,1.6009351761729682,1,1
i_n_users,0.9068508096158088,2,1
i_n_covisit_neighbors,0.8383844608694991,3,1
u_n_exp,0.7522775947398711,4,1
u_n_uniq_items,0.7276551497866298,5,1
i_log1p_n_users,0.7103892284489567,6,1
i_log1p_n_covisit,0.5091319834760902,7,1
i_n_exp,0.3411337325619144,8,1
u_n_events,0.32111781648916193,9,1
u_log1p_n_uniq,0.21740760133339684,10,1
i_log1p_n_exp,0.06553373427814857,11,0
ui_pop_mismatch,0.06167816019120683,12,0
u_log1p_n_events,0.033284559729397076,13,0
